"notes","term","priref"
"Those who choose to live in seclusion and solitude. Examples are those who do so for religious motives.","hermit","62927"
"People recognized by others as holy persons; in various religions, the dead who are believed to be in Heaven. In the Roman and Eastern Catholic churches, people who are formally recognized by the Church as having had exceptional holiness of life and therefore an exalted station in heaven, and who have often been formally canonized.","saint","62928"
"","eating and drinking buildings (guide term)","62929"
"","serving","62931"
"Servants or attendants who work in the household, often living in the same house as the family.","domestic (servant)","62932"
"Sticks or rods made of wood and marked with transverse notches for the purpose of counting or measuring a debt or payment. A debtor and creditor would each retain halves of the sticks which would be cleft lengthwise across the notches, constituting legal proof of the debt.","tally","62933"
"Distinguished from other drinking establishments (e.g., bars, saloons) by being family-oriented, by having chairs and tables rather than a bar, by emphasizing food as much as beer, by having music, and by being more impersonal than saloons.","beer garden","62934"
"Proprietors or managers of operations in inns, which are relatively small buildings where travellers are provided with overnight accommodation.","innkeeper","62936"
"Relatively small public buildings that offer for a fee rooms for sleeping and a tavern for food and beverages.","inn","62937"
"","figures by portion represented (guide term)","62938"
"Afbeeldingen waarin de figuur tot onder de taille wordt weergegeven, meestal halverwege de dijen of net onder de knie.","three-quarter length figure","62939"
"Land depressions having a more flattish landscape, with less precipitous slopes, than canyons or gorges.","valley","62940"
"","hilly landscape (visual work)","62941"
"Human activity that produces the goods or provides the services in demand in an economy. For the people who perform labor, use ""workers.""","labor","62942"
"Refers to any process or technique done with a needle and thread, such as sewing, stitching, smocking, quilting, and embroidery. In common usage, the term is sometimes used to refer to decorative work rather than plain sewing; however, to distinguish more decorative work from plain sewing, it is less ambiguous to use ""fancy needlework"" or a specific needlework technique, such as ""embroidery.""","needleworking (process)","62943"
"Removing dirt, surface coatings, accretions, discolorations, or other undesired matter from a substrate.","cleaning","62944"
"Removing wrinkles from fabric by using an iron.","ironing","62945"
"","food preparation","62946"
"","hanging out the washing","62947"
"The washing of textile items, such as shirts and linens.","laundering","62948"
"The action of managing or keeping something in good order for optimum efficiency or performance. In conservation, the care and maintenance of historic heritage sites and collections with an emphasis on preventive preservation.","housekeeping","62949"
"The Styles and Periods hierarchy contains the names of art and architecture styles, historical periods, art movements, nationalities, and cultures (e.g., ""Renaissance,"" ""Ming,"" ""Yoruba,"" ""Celtic,"" ""Louis XIV,"" ""Italian,"" ""Paleolithic""). Relation to other hierarchies: Terms for religions, which may be considered to describe culture, are found in Associated Concepts. Terms for genres of art, including all the arts not specific to a given people or period (e.g., ""amateur art,"" ""pattern poetry"") are found in the Associated Concepts hierarchy; also here are terms for general approaches to art (e.g., ""realism"") while specific movements named after such approaches are found here (e.g., ""Realist"").""","styles and periods (guide term)","62950"
"Visual works in any medium that depict a landscape as a highly idealized version of nature and natural forms with references to Classical mythology.","Arcadian landscape (visual work)","62951"
"","italianate","62952"
"Valveless lip-vibrated aerophones of conical bore, made in many shapes, originally used as signal instruments during the hunt.","hunting horn","62953"
"Wild animals under pursuit or taken in hunting.","game (hunting)","62954"
"Gear used for hunting.","hunting gear","62955"
"Guns designed for use in hunting.","hunting gun","62956"
"","hunting dog","62957"
"Those who kill animals as a main occupation for sustenance, livlihood, or sport, to obtain food, material, or trophies.","hunter","62958"
"Still lifes depicting an arrangement of poultry, duck, suckling pig, hare, rabbit, or any other type of game. Because game hunting was reserved for nobility, some historians believe that people of lesser rank purchased these works in an effort to associate themselves with the more privileged class. This type of still life developed in the second half of the 17th century.","game piece (still life)","62959"
"Occurrences taking place during a particular interval of time. The term is much broader in meaning than the scope of the facet also called ""Events."" While the facet includes only terms referring to general events, the actual term ""events"" may be used to index these as well as specific named events.","event (activity)","62960"
"","bear hunt","62961"
"","duck hunt","62962"
"","hare hunt","62963"
"","deer hunt","62964"
"","lion hunt","62965"
"","foxhunting","62967"
"","whaling","62968"
"","wolf hunting","62969"
"","boar hunting","62970"
"","creeping up on","62971"
"","hunting party","62972"
"","hunting animal","62973"
"People who ride horses.","horseman","62974"
"The action or practice of chasing game or other wild animals, for sustenance, profit, or sport.","hunting","62975"
"","people by activity (guide term)","62976"
"Structures, generally enclosed, that are used or intended to be used for sheltering an activity or occupancy.","building","62977"
"In complex castles, the spaces between the outer and inner walls that form courtyards bordering the central defenses of the castle, and that may house facilities for animal husbandry, storage, processing of materials, or gardens.","outer bailey","62978"
"Mansions belonging to, or used by, the lord of a manor.","manor house","62980"
"Refers to wet or dry defensive ditches, often associated with fortifications.","fosse","62981"
"Buildings or groups of buildings intended primarily to serve as a fortified residence of a prince or nobleman.","castle","62983"
"Institutions that maintain places for public Christian worship.","church (institution)","62984"
"Representations of the inside of a building, house or room. Use ""church interior"" for church interiors.","interior view","62985"
"Flat working surfaces on top of waist-level cabinets, such as found near or adjacent to the sinks in kitchens and bathrooms.","countertop","62986"
"Stoves designed and used primarily for cooking and baking, rather than only for heating a space.","cooking stove","62989"
"Devices used in a domestic context that facilitate such tasks as food preparation, food storage, cleaning, and grooming and that are powered by fuel or electricity.","appliance","62990"
"Equipment, containers, utensils, dishes, cookware, cutlery, and other items for kitchen use, excluding appliances.","kitchenware","62991"
"Kitchen scene from the 16th or 17th century with kitchen staff performing domestic actions in a room with utensils, game, meat, fish, vegetables and/or fruits, usually in the form of a still life. Sometimes erotic acts are involved or moralistic and satirical allusions are obvious. Biblical subjects also appear in the background, the content of which is related to the kitchen scene. In the 17th century, (seemingly more) mundane genre scenes appear alongside allegorical kitchen scenes.","kitchen piece (scene)","62992"
"Still life paintings depicting a combination of items found in a kitchen, often including food, utensils, and vessels, as if in the process of meal preparation, and often laid out on a working table of the type that would have been set in the center of the kitchen.","kitchen piece (still life)","62993"
"Agricultural buildings with large, usually sliding doors, prominent roofs, and predominantly open spaces on the interior, primarily used as storage buildings for hay, grains, and farm equipment and shelters for livestock; does not include those structures, often termed barns, used for the processing of food and other agricultural produce, such as hop barns and tobacco barns.","barn","62994"
"","stable interior (visual work)","62995"
"Rooms or closets in which food, groceries, and other provisions, or silverware, dishes, and other items are kept.","pantry","62996"
"Rooms intended for the preparation and cooking of food.","kitchen","62997"
"People in the earliest developmental stage of life.","child","62998"
"","boy's portrait","63000"
"","girl's portrait","63001"
"Visual works that depict one or more children.","children's portrait","63002"
"Portrait to the knee, as opposed to a bust or full-length.","knee-length portrait","63003"
"","photographers' portrait","63004"
"Works in which someone produces a likeness of himself or herself.","self-portrait","63005"
"Works in which an artist is depicted by another artist. For works in which someone produces a likeness of himself or herself, use 'self-portraits.'","artists' portrait","63006"
"","charlatan","63007"
"Practitioners of medicine with a doctorate in any of its branches, especially those licensed by the proper authorities.","physician","63008"
"Instruments or apparatuses that aid the diagnosis, prevention, and treatment of diseases and injuries used in the practice of medicine.","medical equipment","63009"
"Functions or performances that are related to health care.","health care function","63010"
"Containers of various designs used to hold urine, usually portable as for travel, in a sick bed, or a bed chamber; may be appropriately shaped for male or female use. They may have a handle. For portable containers intended for both urine and excrement, and usually found in bed chambers, prefer ""chamber pots""; for such containers found in sick beds, prefer ""bedpans (containers).""","urinal (container)","63011"
"","quack","63012"
"Fictitious narratives usually with animals or inanimate objects as protagonists, intended to convey a hidden meaning regarding human conduct.","fable","63013"
"","classical literature","63014"
"Stories handed down by tradition from earlier times, usually concerned with a real person, place, or event, and popularly regarded as historical although not entirely verifiable.","legend (folk story)","63015"
"","theater scene (visual work)","63017"
"","womanly wiles","63018"
"General term for the genre of works, written or oral, that are the result or product of literary activity. Included are written works considered collectively; a body of literary works produced in a particular country or period, or of a particular genre.","literature (genre)","63019"
"","market vendor","63021"
"Refers to those who move about selling small goods from door to door or on the street. For those who sell food or small goods from temporary positions on the street, see ""street vendors.""","peddler","63022"
"Generally, anyone who sells fish. Historically, the Fishmongers' Company was one of the ""Great Twelve"" livery companies of the city of London.""","fishmonger","63023"
"Buyers and sellers of commodities for profit.","merchant","63026"
"","flower market","63027"
"","vegetable market","63028"
"","cheese market","63029"
"","market stand","63030"
"","horse market","63031"
"","cattle market","63032"
"","fish auction","63033"
"Markets, usually outdoors or in a large roofed space, where fresh dead fish are sold for food.","fish market","63034"
"Marketplaces, usually consisting of a network of covered streets, stalls, booths, and shops, common in parts of North Africa and West Asia.","bazaar","63035"
"","market vendor (female)","63036"
"Congregations of people at a stated time and place for the purpose of private buying and selling, usually not by auction. For exhibitions in which different exhibitors participate to publicize and promote their products, services, or activities, sometimes though not necessarily involving buying and selling, use ""fairs.""","market (event)","63037"
"","Greek mythology","63039"
"Change of people into animals, trees, plants, flowers, stones, rocks, mountains, celestial bodies, air, water, islands, change of sex or age, etc.; also applicable to the change of form of objects, plants and flowers into something or someone else.","metamorphosis (mythological event)","63040"
"","Roman mythology","63041"
"Instruments or weapons having three prongs.","trident","63042"
"Genre and tradition concerning the study of a culture's body of myths, belonging to a particular religious or cultural tradition in an authoritative and official fashion and through symbolic narrative, iconography, or characterization, usually through the forms and personalities of deities.","mythology","63044"
"Depictions of places or things seen from a distance, with a range of sight distinct from other information forms such as diagrams, working drawings, or verbal descriptions. Generally reserved for two-dimensional media such as prints, drawings, paintings, photographs, or bas-reliefs.","view (visual work)","63045"
"","male nude","63046"
"","female nude","63047"
"","dressing/undressing","63048"
"","seminude","63049"
"Representations of unclothed human figures.","nude (representation)","63050"
"Points or period in the course of a day or of the diurnal cycle.","time of day","63051"
"Controlled fire in an open air campsite, to be used for heating, enjoyment, or cooking.","campfire","63052"
"Relatively large satellites that orbit a planet.","moon","63053"
"","bat","63054"
"The period between sunset and sunrise, especially the hours of darkness.","night","63055"
"","stations of the cross","63057"
"","Christ","63060"
"","birth","63061"
"","Mary","63062"
"","New Testament and Apocrypha","63064"
"Te gebruiken voor de gestileerde decoratieve motieven gebaseerd op de diepe zaagvormige en uitgeschulpte bladeren en gebogen stengels van de acanthus-plant.","acanthus (motif)","63066"
"Decorative patterns of stylized foliage characterized by a continuous stem which splits regularly, producing a series of counterpoised, leafy, secondary stems. Used also generally for allover patterns of fanciful foliate scrollwork.","arabesque","63067"
"Decorative border of contrasting types of wood cut at varying angles to the grain, such as for finishing the edges and rims of furniture.","banding","63068"
"","floral garland (ornament)","63069"
"Ornamental enframements, such as for an inscription, monogram, or coat of arms, or ornately framed tablets, often bearing inscriptions.","cartouche (ornament)","63070"
"Extended horizontal bands decorating architecture, furniture, or other objects and containing figures, scenes, inscriptions, or ornamental motifs. For the specific parts of classical entablatures, see ""friezes (entablature components).""","fries (ornament area)","63071"
"Ornamental motifs including fanciful human and animal forms and floral ornament, based on the decoration of Nero's Domus Aurea in Rome, discovered in 1488.","grotesque","63072"
"Motif in the form of the head of a lion, usually a maned African lion. Examples occur in Western and Asian art, for example in carpet designs, spouts and other elements on pottery, and ornamental elements on architecture or furniture.","lion's head (motif)","63073"
"Motif resembling a stylized erect leaf divided into lobes, in the form of a fan or palm leaf, often supported by spirals. Its origins are obscure, but similar motifs are first recorded in Syria and Mesopotamia and in the islands of the eastern Mediterranean by the 2nd millennium BCE. As the name suggests, it may have been derived from representations of palm-trees, especially in view of the belief that a tree cult may have existed in western Asia in association with the introduction of the cultivated date-palm; however, it has much in common with other early floral and spiral motifs. The motif is common in classical and classicizing styles, used either individually or along with other conventionalized flower or foliage forms, for example, in an anthemion.","palmette (motif)","63074"
"Refers generally to the bolder and more extravagant flights of Rococo style as applied to the decorative arts, deriving from the ornate rockwork and shellwork used for fountains and grottoes.","Rocaille (style)","63075"
"Motif in the form of a stylized rose with petals radiating from the center, or for similar circular ornaments having a design radiating from the center.","rosette (ornament/motif)","63076"
"Monuments erected as permanent reminders of military victories, usually containing images of the spoils of battle and often set up in the land of the vanquished. The design of these monuments was derived from the piles of arms and armor collected and displayed after Greek and Roman military victories. For the actual objects taken as spoils in war or hunting, or awarded as prizes for victory in contests, use ""trophies (objects).""","trophy (monument)","63077"
"Single structures in the built environment.","single built work (built environment)","63078"
"Decorative forms or embellishments that are an integral part of a building or object but are not essential to its structure. Refers also to decorative objects attached to or worn by humans and animals. For objects signifying an honor bestowed upon an individual, usually worn on the person, see ""decorations."" Regarding techniques of embellishment in general, see ""decoration (process).""","ornament (object genre)","63079"
"","Old Testament and Apocrypha","63080"
"Official residences, frequently large and impressively appointed, of sovereigns or other high dignitaries; for other large stately dwellings but not official residences, use ""mansions.""","palace","63082"
"Structures marking entry points into cities, often through defensive walls, fortified, and architecturally distinctive.","city gate","63083"
"Gates of a town giving access to the water, or through which supplies of water are brought or water traffic passes.","watergate","63084"
"Monumental structures containing at least one arched passageway and erected to honour an important person or to commemorate a significant event, particularly a victory in war. The basic form consisted of two piers connected by an arch, over which was placed a superstructure that served as a base for statues and bore commemorative inscriptions. Triumphal arches generally spanned a roadway used for triumphal processions. They are associated with ancient Roman architecture, however, they possibly developed elsewhere or from the Porta Triumphalis, which was a gate in Rome through which the victorious Roman army had to pass before entering the sacred city territory of Rome.","triumphal arch","63086"
"Structures at, near, or over entrance gateways, usually containing a gatekeeper's dwelling. For subordinate buildings on the grounds of estates or parks used as the dwellings of employees, such as gatekeepers, but not located at entranceways, prefer ""lodges (caretakers' houses).""","gatehouse (building)","63087"
"","Dutch historical portrait","63088"
"Portraits in which the portrayed subject or subjects are depicted as historical or mythological figures, who often take on some of the moral weight of the history painting.","historiated portrait","63090"
"Portraits depicting two or more individuals.","group portrait","63091"
"Members of the Dutch ruling class in the early modern period, involved in government and as heads of institutions such as orphanages","regent (official)","63092"
"A regentenstuk (Dutch, literally ""regents piece"") is a type of group portrait that was popular in the Dutch Republic during the 17th and 18th centuries. These depicted the board of regents of a charitable organization or guild, depicted as an ensemble, most often meant to be publicly displayed in boardrooms or guildhalls. Early versions of these included iconography related to the function of organization represented, though later examples often lack these elements.","regents' portrait","63093"
"Bodies of water flowing in direct course or a series of divergents or converging channels.","river","63094"
"Representation of ships on water, with minimal indication of surrounding land, as distinguished from ""river landscape,"" in which the surrounding land is a significant part of the representation. For representations of estuaries, a combination of ""river view"" with ""seascape"" may be used.","river view","63095"
"Vessels that can float and are constructed for travel or transport on the water, such as a boat, ship, or raft.","watercraft","63096"
"Natural depressions or courses in the earth's surface that are filled with water, including seas, lakes, and rivers.","body of water","63097"
"Landscapes featuring areas adjacent to a river. Use ""river view"" if the land surrounding the river is nothing more than an indication on the horizon.","river landscape (visual work)","63098"
"","classical ruin","63100"
"Collocates descriptors for elements developed originally or primarily as portions of architecture, often adapted to other habitable spaces, such as in large vehicles, and often borrowed or imitated for structural or decorative use on other objects.","building division","63101"
"The remains of buildings or groups of buildings that have been destroyed or are in a state of great disrepair or decay.","ruin","63102"
"Portraits of a person on horseback, where the person is the focus of the portrait. For portraits intended primarily to depict a known individual animal, usually named, prefer ""animal portraits.""","equestrian portrait","63103"
"Those who ride horses in races.","jockey","63104"
"","female equestrian","63105"
"","horse","63106"
"The Furnishings and Equipment hierarchy contains terms for objects that are primarily movable that provide comfort, convenience, or protection in dwellings, places or business, or other public or private spaces. They may be useful or ornamental and may be used in indoor or outdoor spaces. Regarding other Hierarchies: Terms for objects with the primary purpose of storage receptacles or other forms of container (e.g., ""candle boxes,"" ""footlockers"") are in the Containers hierarchy.""","furnishing and equipment (guide term)","63108"
"Pens made from the shafts of wing feathers or quills of geese, swans, ravens, eagles, owls, hawks, turkeys, and other birds. The tubular quill holds a reservoir of ink and the end may be cut into a pen point with various types of tips. Until the perfection of the metal pen point, the quill pen had historically been the most frequently used instrument for applying liquid media to a drawing surface. The supple tip of the quill can be found in various degrees of stiffness, which permit a wide range of strokes from soft thin lines to bold broad lines.","quill pen","63109"
"Styluses, rods, or wires of metal, usually held in a holder, used as a common tool for drawing. They were used for writing in ancient times. Metal points are typically used on a paper or parchment support, which has been covered by a ground. As the point moves across the ground, it leaves behind a thin layer of metal. The thin metal quickly oxidizes. For example, silver point becomes the brownish grey of tarnished silver and lead point becomes quite dark. Metal points are the predecessors of ""pencils.""","metal point","63110"
"Small vessels for holding ink into which a pen can be dipped. For bottles in which ink is sold, see ""ink bottles.""","inkwell","63111"
"Stands for holding inkwells, pens, sand, and other writing equipment.","inkstand","63112"
"","sealing wax stick","63114"
"","wax stamp","63115"
"","resin seal","63116"
"Select, unfading, black slate of uniform color and thickness with all edges ground and accurately squared so that joints can be made tight, smooth, and on the same plane.","blackboard slate (material)","63117"
"Hand-held instruments for writing or drawing with a colored fluid such as ink. A pen generally comprises a handle or holder and a pointed tip for distributing the fluid on the drawing surface. The term may also refer to an instrument for machine-controlled writing or drawing with ink.","pen","63118"
"Small pocket knives, usually with only one blade.","penknife","63119"
"Boards with a dark, usually black or green, surface for writing or drawing with chalk or a similar material. Examples of use include as a teaching aid in classrooms, and in shops, restaurants, or elsewhere for displays, usually words, that may be easily altered.","blackboard","63121"
"Small perforated containers used for sprinkling sugar, salt, mustard, or other spices, especially at the table. Casters may be of varying shape and material either made as one piece, with holes in the top and filled through a corked or otherwise plugged hole in the bottom, or made as two pieces, with a threaded stopper or screw cap. Casters of various types and for various purposes were historically made in a set, often fitting onto a tray and set upon a table during dining. Casters were often made for use with a specific spice, sugar, or salt, but the forms are often very similar or identical, so that attributing a particular caster to its intended use may be difficult.","caster","63123"
"A resinous substance excreted by the lac insect, especially those who live on the twigs and soft new branches of several varieties of soapberry and acacia trees. Lac is used in the manufacture of varnishes (shellac), sealing wax (lac wax), and red colorants (lac dye) as early as ca. 1200 BCE in India. The word ""lac"" is the English version of Persian and Hindi words meaning ""hundred thousand,"" indicating the large number of the tiny insects required to produce lac.""","lac (resin)","63124"
"Forming or producing letters to record the ideas which characters and words express or to communicate the ideas by visible signs.","writing (process)","63125"
"","writing instrument","63126"
"Group portraits, usually paintings, representing members of the civil militia or civic guard. The genre was common in the Netherlands of the 16th and 17th century.","militia piece","63127"
"Those enrolled in the military service of a government.","military personnel","63128"
"Mercenary soldiers of a certain class in the German and other continental armies in the 16th and 17th centuries. The term originally applied to the serfs brought into the field by the nobles within the territories of the Empire, in contradistinction to the Swiss mercenaries. In time this distinction became obsolete, and the designation connoted a soldier armed with a particular kind of equipment, of which a lance was part.","lansquenet","63129"
"Military camps where army soldiers are stationed when training for, or fighting, a war.","army camp","63130"
"Acts of destroying, damaging, or carrying off booty in time of war or unrest. In the context of heritage management and cultural diplomacy, use ""looting (social issue)"" rather than the more general ""theft (crime)"" with reference to cultural property, often taken with the aim of illicit trafficking.","plundering","63131"
"Genre scenes that depict soldiers drinking, resting, and gambling. Coortegardjes enjoyed their greatest popularity during the 1620s and 1630s, perhaps as a result of Dutch preoccupation with the ongoing war with Spain.","guard room scene","63132"
"Implements or mechanisms used for defense or attack in combat, hunting, or war.","weapon (fight)","63133"
"Generally refers to those belonging to an army, whether that of a sovereign state, a faction or division within a sovereign state, or of an individual leader. Specifically refers to military personnel of enlisted rank, as distinguished from commissioned officers. For those trained for or engaged in the physical combat of warfare and sanctioned in that function by the society or group for which they fight, irrespective of actual membership in an army, see ""warriors.""","soldier","63135"
"General term referring to all long outdoor passages used by and generally created by humans, intended to allow people to pass between different places, usually one wide enough to admit of the passage of wheeled vehicles, horses, or travellers on foot.","road","63136"
"Representations in which a (part of a) city is the primary subject. Use ""marine (as genre)"" for harbor views.","cityscape","63140"
"A road in a city, town, or village, characterized by usually being paved and comparatively wide (as opposed to a lane or alley), and generally running between two rows of houses or other buildings.","street","63141"
"Depictions in which the entire body of the person is portrayed, as contrasted to a portrait of only the face, a bust, or a half-length portrayal. The sitter may be standing or sitting in his or her entirety, and is often portrayed life-size or larger.","full-length portrait","63143"
"Traditionally, formal settings for the Japanese tea ceremony; by extension, today, outdoor public places serving teas and other light refreshments.","tea garden","63144"
"Area of ground or open space where flowers, shrubs, trees, vegetables, or fruits are grown and cultivated.","garden","63145"
"Level paved or planted areas, usually elevated above surrounding terrain and adjacent to buildings or parts of garden complexes.","terrace","63146"
"Spaces and rooms located in theaters.","theater space","63148"
"Gardens whose plantings, walks, pools, fountains, and other features follow a definite, recognizable plan, frequently symmetrical, emphasizing geometrical forms.","formal garden","63151"
"Grounds laid out so as to produce the effect of natural scenery.","landscape garden","63152"
"Private gardens established primarily for growing vegetables and herbs for domestic consumption.","kitchen garden","63153"
"Formally arranged flower beds, planters, or boxed sections of gardens, often set with raised borders and in different shapes.","parterre","63154"
"Narrow strips of land planted with perennials, typically included in a formal garden to provide color.","herbaceous border","63155"
"Tracts of land on which grapevines are cultivated; plantations of vines.","vineyard","63156"
"Structures with apertures designed to allow water to spout or flow periodically or continuously, as for amenity or public access.","fountain","63157"
"","park landscape (visual work)","63158"
"Designates small buildings for the Japanese tea ceremony.","teahouse","63159"
"Sculpture made for use in or placed in garden settings.","garden statue","63160"
"Those who practice gardening, either professionally or as a hobby.","gardener","63161"
"Decorative vases or urns used to decorate gardens. These are created in a variety of materials including marble, ceramics, stone, or iron, and may exhibit applied decoration including handles, leaf motifs, or masks.","garden urn","63163"
"Relatively small bodies of water, usually surrounded on all sides by land.","pond","63164"
"Instruments that indicate approximate time of day from a shadow cast by a gnomon in sunlight onto a graduated surface.","sundial","63165"
"Bony framework of the head, enclosing the brain and supporting the face.","skull","63167"
"","vanitas","63168"
"Timepieces that measure equal periods of time by the motion of sand or other freely flowing, fine-grained substances through a narrow aperture between two triangular or conical glass bulbs arranged mouth to mouth; probably introduced in the early 14th century and used then especially for timekeeping aboard ships.","hourglass","63169"
"Refers to still lifes in which the objects depicted are overt reminders of mortality, the transcience of human life, and the ultimate worthlessness of earthly possessions, such as hourglasses, scales, mirrors, skulls, and symbols of wealth, learning, and power such as jewels, books, and armor. Such still lifes, unlike most others, have religious overtones. This type of still life, developed in Leiden, was especially popular in 17th-century Dutch painting. The name cames from a passage in the book of Ecclesiastes in the Bible.","vanitas (still life)","63170"
"Still life paintings depicting fish and other items of food preparation.","fish piece","63172"
"Refers to female human beings from young adulthood through old age.","woman","63173"
"Pieces of cloth, usually square, varying in size and material, carried for usefulness or as a costume accessory.","handkerchief","63174"
"","woman's portrait","63175"
"Still life consisting of bundles of plants or flowers inserted through the openings of a (usually stone, sometimes wooden) cartouche and usually connected by their stems or branches, often with ivy, usually with a representation in the center as in a wreath. Fruit pieces with cartouches were painted primarily in the Southern Netherlands. The center representation is usually by a different hand than the flowers and fruits.","fruit piece with cartouche","63177"
"","garland of fruit (schikking)","63180"
"","wreath of fruit (visual work)","63181"
"Still lifes depicting predominantly fruit.","fruit piece","63183"
"Devices that include the full display of armorial bearings: the escutcheon plus its adjuncts (helm, crest, mantling, motto, supporters).","coats of arms and coat of arms elements","63184"
"General term for armor pieces carried in the hand or on the arm, used to parry an opponent's blows or provide shelter from projectiles. They have existed worldwide throughout history in a wide variety of sizes, shapes, and materials.","shield (armor)","63185"
"Shields, or shield-like surfaces upon which coats of arms are depicted.","escutcheon (coat of arms)","63187"
"The climatic divisions of the year, that are spring, summer, winter, and autumn.","season","63188"
"The solid form of water, produced by freezing.","ice (water by form)","63189"
"","winter landscape","63190"
"Usually the coldest season of the year, occurring between autumn and spring.","winter","63191"
"Categories of art that are characterized by form or content.","art genre (guide term)","63194"
"Representations of scenes or events from the (supposed) everday life.","genre picture","63196"
"Representations that explore a subject or are preliminary to a separate, more finalized work.","study (visual work)","63197"
"The relative disposition and way of arrangement of the various parts of the body of a human, or sometimes of an animal. Includes the position and carriage of the limbs, hands, head, or the body as a whole, often as indicating a particular quality or feeling. Examples of displays of body position include in the visual arts, dance, and ritual.","body position","63198"
"General term used to reference various components of a body, usually restricted to the human body. Included may be external parts or internal parts, such as organs.","body part","63199"
"","figure study (main subject)","63200"
"","individual portraits on the same medium","63201"
"Portraits of the donors of a work, depicted in the work depicting a narrative or other scene. The donors may be depicted as themselves, or they may take on the character of one of the actors in the narrative.","donor portrait","63202"
"Double portraits or companion portraits that depict partners in marriage. When depicted accompanied by children or other kin, use 'family portraits'.","wedding portrait","63203"
"","posthumous portrait","63206"
"Solemn portrait showing a person in office with associated signs or symbols of power and dignity.","ceremonial portrait","63207"
"","study of a head","63208"
"Heads of figures, painted in the manner of portraits but representing types or historical figures; a compromise between portraiture and history painting; often focusing on the psychological state of the sitter. The genre was developed by Rembrandt and others in 17th-century Netherlands.","tronie","63209"
"The mode or fashion of personal attire and dress, including the way of wearing the hair, style of clothing, jewelry, crowns, scepters, and other accessories of personal adornment, belonging to a particular nation, class, period, or special occasion, including all items worn or carried by people for warmth, protection, embellishment, or symbolic purposes. In English, generally expressed in the singular.","costume (mode of fashion)","63210"
"Movement and positioning of limbs, hands, or body as a means of intentional expression. For positioning of the body primarily for artistic effect, prefer ""pose.""","gesture","63211"
"Refers generally to that category of costume designed to be worn or carried to protect the body in combat. Armor pieces which are always physical parts of or are affixed to other pieces and cannot function alone are collocated under the guide term ""<armor components>."" For specifically groups of armor pieces designed as a whole to possess particular physical characteristics in order to suit a particular purpose or occasion, see ""armors.""","armor (protective wear)","63212"
"Landscape in which dunes form the main part of the representation and the sea plays no or a very minor role.","dune landscape (visual work)","63213"
"","heathland (visual work)","63214"
"Refers generally to pictorial representations with very broad horizontal ranges of view. The term is also used specifically for photographs that show a wide view produced by a panoramic camera or by joining photographs together.","panorama landscape (visual work)","63215"
"Place or state of perfect freedom, peace, innocence, and plenty, often referred to both as the original state of humanity and a blissful world to come. Common to many religions and mythologies.","paradise (religious concept)","63216"
"Representation of low-lying land bisected by rivers, dikes and/or ditches, with not infrequently one or more mills.","polder landscape (visual work)","63218"
"","rocky landscape (visual work)","63219"
"","beach scene","63220"
"","subtropical landscape (visual work)","63221"
"","tropical landscape (visual work)","63222"
"","water still life","63223"
"","meadow landscape (visual work)","63224"
"","village in the background","63225"
"","in a landscape","63226"
"Sudden calamitous events producing great material damage, loss, or distress.","disaster","63228"
"Distinctions among villages, towns, and cities are relative and vary according to their individual regional contexts. Generally, cities designate large or important communities with population, status, and internal complexity greater than most towns in the region.","city","63229"
"","livestock","63230"
"State of the atmosphere with respect to such factors as wind, temperature, cloudiness, moisture, and pressure. For the long-term total of atmospheric variations at a specific geographical location, use ""climate.""","weather","63231"
"Representations in which the sea, ships, shipbuilding, or harbors are the primary subject.","marine (visual work)","63232"
"Well-sheltered inlets of water affording protection from wind and sea and sufficient depth to allow anchorage for vessels.","harbor","63233"
"Coastland adjacent to the sea. Literally the land washed by the sea between high and low tides, but in extended use describes entire administrative areas near the seafront.","seashore","63234"
"Occasions of the severe damage or loss of a boat or ship at sea.","shipwreck","63235"
"Shores comprised of an accumulation of sediment, such as sand or pebbles, along the edge of a sea or lake, and formed by coastal processes such as waves and tides.","beach","63236"
"Towers or other structures equipped with a powerful light or lights (originally a signal fire) at the top, erected at important or dangerous points on or near the coast for the guidance of mariners.","lighthouse","63237"
"The shallower salt water areas of the earth lying on the margins of continents; loosely applied as a proper name to any specific bodies of water. For the main water areas of the earth, lying in basins, use ""oceans.""","sea","63238"
"Creative works that depict the ocean or other large body of water where the water itself dominates the scene. When lesser bodies of water are depicted, use ""landscapes (representations)."" When ships, shipbuilding, or harbors are depicted, use ""marines (visual works).""","seascape","63240"
"Still life consisting of books, not infrequently combined with musical instruments, writing utensils and/or vanitas motifs.","book still life","63243"
"Composition of pots, pans, baskets, kettles, etc., as used in a rural household, situated in a kitchen, pantry or stable; also occurs as part of a genre picture.","farm still life","63244"
"Compositions of vegetables, fruits, meat, fish, game and/or other products of the land as found in a market stall. May also be part of a market scene with figures, another genre picture or history.","market still life","63245"
"","shell still life","63246"
"","trompe-l'oeil (still life)","63247"
"","animal study","63250"
"Representations of insects, in which the scientific reliability of the representation is paramount; produced from the seventeenth century onwards as part of the study of naturalia.","study of insects","63251"
"","reptiles and amphibians scene","63252"
"","shell scene","63253"
"","fish scene","63254"
"Representation in which one or more birds are the subject or an important part of the representation. Initially they were mostly depicted for their allegorical significance, later predominantly for the biological and aesthetic characteristics of the species. Although usually represented alive and/or in action, dead birds are also a popular subject","bird scene","63255"
"Representations in which the primary subject is an animal.","animal representation","63258"
