"priref","term","termbeschrijving"
"63387","voet","Delen van het lichaam van een mens of een dier, gewoonlijk met tenen, die zich bevinden onder het enkelgewricht van de benen of poten, met als belangrijkste functie het bieden van steun en voortbeweging. Gebruik 'handen (dierlijke of menselijke lichaamsdelen' voor de uiteinden van armen."
"63389","textilia","Verzamelnaam voor artikelen gemaakt van textielmaterialen. Zie de NT's van 'textielmaterialen' voor de materiaaltermen."
"63390","draperie (voorstelling)","Voorstellingen van afhangende stof, zoals weergegeven in de beeldende kunst."
"63391","draperie","Gordijnen die meestal lang zijn en uit een dik materiaal bestaan en doorgaans in zorgvuldig geordende vouwen aan de zijdes van openingen worden opgehangen op een rechte of gedrapeerde manier. Ze worden vaak over vitragegordijnen heen gebruikt."
"63392","uitrusting voor roken en tabaksgebruik (guideterm)",""
"63394","pijp","Rookgerei voor het genieten van tabak en andere roesmiddelen; bestaat meestal uit een steel met mondstuk en een kopje waarin het te roken product wordt verbrand."
"63395","levend organisme","Wezens die leven, uiteenlopend van eencellige prokaryoten en eukaryoten tot meercellige schimmels, planten en dieren."
"63396","dierlijke component","Onderdelen of componenten van dieren, inclusief mensen."
"63397","dier (gedomesticeerd)",""
"63400","mythisch of legendarisch wezen","Wezens die vaak in mythen en sprookjes genoemd en omschreven worden."
"63401","geleedpotigen (guideterm)","arthropoda"
"63402","insect","Naam van de dieren van een klasse van de gelede dieren. Het zijn door tracheeën ademende dieren, met een lichaam verdeeld in drie afdelingen (kop, borststuk en achterlijf) , en die drie paar poten en meestal vleugels hebben"
"63403","jong dier",""
"63405","neteldieren (guideterm)","cnidaria"
"63407","plankton",""
"63408","prooi",""
"63409","reptielen en amfibieën (guideterm)",""
"63410","vis",""
"63413","weekdieren (guideterm)","mollusca"
"63414","wormen: platwormen, rondwormen, bloedzuigers (guideterm)","vermes"
"63416","zoogdieren (guideterm)","mammalia"
"63417","kudde",""
"63419","blaasinstrument","Muziekinstrumenten waarbij het geluid wordt voortgebracht door een trillende kolom lucht."
"63420","klavierinstrument","Muziekinstrumenten met een toetsenbord; bespeeld met hand(en)."
"63421","klokkenspel","Serie gestemde vaste klokken die binnen of buiten hangen en die bespeeld worden door er tegen te slaan. Ze zijn minder uitgebreid dan carillons, met een bereik dat beperkt is tot minder dan twee octaven. Zie 'bekkens' voor een enkele klok."
"63422","slaginstrument","Instrumenten met een gespannen (dieren)vel of met een toets van hout of metaal; bespeeld door er op te slaan of door ze te schudden."
"63423","strijkinstrument","Instrumenten waarbij het geluid wordt voortgebracht door trillende snaren; westerse muziektraditie."
"63424","tokkelinstrument",""
"63426","concert","Harmonieuze combinaties van muzikale klanken geproduceerd door een aantal uitvoerenden die samen zingen of spelen."
"63427","muziek (discipline)",""
"63428","muziekinstrument","Instrumenten waarmee muziek gemaakt kan worden."
"63429","scheepswrak",""
"63430","verdrinken",""
"63431","gevecht",""
"63432","kanonschot","Ontlading van een kanon."
"63434","dubbelportret","Groepsportretten van twee personen."
"63435","familieportret","Portraits that depict two or more sitters that share kinship."
"63436","groepsportret 3 personen",""
"63437","groepsportret 4 personen",""
"63438","groepsportret 5 personen",""
"63439","groepsportret 6-10 personen",""
"63440","groepsportret meer dan 10 personen",""
"63441","groep personen",""
"63443","viering (gebeurtenis)","Evenementen die dankbare of gelukkige voldoening of eerbewijs tonen, waarbij wordt afgezien van alledaagse zaken of andere afwijkingen van de gebruikelijke routine. Gebruik 'herdenkingen' voor evenementen die met name dienen om iemand of iets te herdenken."
"63444","dorpsfeest",""
"63445","dorpsgezicht","Beeldende werken waarvan de hoofdvoorstelling een dorp is. Gebruik 'stadsgezichten' voor beeldende werken waarvan de hoofdvoorstelling een stad is."
"63446","dorpsscène",""
"63447","kermis","Te gebruiken voor reizende of seizoensgebonden amusementsgezelschappen met attracties, kansspelen, ritjes in een reuzenrad en soortgelijk vermaak. Gebruik 'carnaval' voor de feestelijke periode van bals, maskerades, optochten en een algehele pretmakerij vóór de periode van vasten."
"63449","dorpskermis",""
"63452","boerderij","Complexen waar planten worden verbouwd of dieren gefokt voor levensonderhoud of handel."
"63453","begraafplaats","Terreinen die worden gebruikt om overledenen te begraven of in tomben te plaatsen."
"63454","graf","Uitgravingen in de grond die worden gebruikt voor begraving; gebruik 'graftombes' voor constructies die zijn opgebouwd op of rond een graf."
"63455","grafdelver",""
"63457","begijn",""
"63458","benedictijn","Een christelijke religieuze orde volgens de Regula Benedicti, de kloosterregel van de heilige Benedictus van Nursia (ca. 480-547). De Regula Benedicti is een gedetailleerde richtlijn voor het bestuur en het spirituele en materiële welzijn van een klooster. Vanaf de 7de eeuw gold de kloosterregel ook voor vrouwen en in de vroege 9de eeuw had de regel vrijwel alle andere kloosterregels in Noord- en West-Europa verdrongen. Benedictijnen houden zich aan een afgewogen dagelijks ritme van gebed, lichamelijke arbeid en studie, zoals voorgeschreven door de heilige Benedictus. Stabiliteit, groepsgebed en gehoorzaamheid aan de abt zijn erg belangrijk. De orde, die bestaat uit autonome kloosters, heeft een lange traditie van wetenschap en onderwijs."
"63459","dominicaan","Een rooms-katholieke orde die in 1215 in Zuid-Frankrijk werd gesticht door de Spaanse heilige Dominicus. De bijzondere kenmerken van de nieuwe orde waren de verplichting om theologische studies uit te voeren en de missie om de leer te verkondigen, een taak die voorheen werd beschouwd als het exclusieve privilege van bisschoppen en hun afgevaardigden. Deze bedelorde wordt gekenmerkt door een centraal gezag en een centrale organisatie en legt de nadruk op missiewerk en wetenschap in combinatie met een actief en contemplatief leven. Een lid behoort tot de orde (en niet tot een autonoom klooster) en kan te allen tijde worden overplaatst naar een andere locatie. Beroemde dominicaanse wetenschappers zijn Albertus Magnus en zijn leerling, de heilige Thomas van Aquino. Het door Aquino ontwikkelde systeem werd in 1278 officieel aangenomen door de orde. Er is een orde van dominicaanse nonnen die in de 19de en 20ste eeuw explosief groeide en een tertiaire orde van leden die niet in kloosters leefden. De orde staat bekend om het onveranderlijk orthodoxe naleven van de leer van Aquino."
"63460","franciscaan","De grootste religieuze orde binnen de rooms-katholieke kerk, gesticht door St. Franciscus van Assisi in het begin van de 13de eeuw. De strenge en eenvoudige voorschriften van Franciscus leggen de nadruk op de gelofte van armoede, een voorwaarde die tot veel conflicten heeft geleid. St. Franciscus riep zijn volgelingen op rond te trekken en te preken, maar ook om de armen en zieken te helpen. Het effect van de vroege straatpredikers en met name van hun stichter was enorm, zodat er binnen 10 jaar 5000 Franciscanen waren. St. Bonaventura (1257-1274) bedacht een gematigde interpretatie van de regel van St. Franciscus, waardoor de verschillende stromingen die zich door de jaren heen hadden gevormd werden herenigd. Om deze reden wordt hij soms wel de tweede stichter van de orde genoemd. Onder St. Bonaventura breidde de orde zich uit en werd deze bekend om zijn theologische scholen. Enkele van de vroegere stromingen vinden hun weerklank in de drie onafhankelijke takken van de Eerste Orde der Franciscanen: de observanten, de conventuelen en de kapucijnen. De Tweede Orde is de orde van nonnen, gesticht door St. Clara onder leiding van St. Franciscus, bekend als orde van de arme klaren of clarissen. De Derde Orde bestaat uit religieuzen en leken, zowel mannen als vrouwen, en is verder onderverdeeld in de seculiere derde orde (levend in de wereld, zonder gelofte) en de reguliere derde orde (levend in religieuze gemeenschappen, met gelofte)."
"63461","Jezuïet","Een rooms-katholieke orde voor mannen die in 1540 werd gesticht door de heilige Ignatius van Loyola, een Spaanse soldaat die zich tijdens het herstel van een oorlogswond bekeerde tot het geloof. Het is een niet-contemplatieve orde die strikte gehoorzaamheid, naleving van Ignatius' Geestelijke Oefeningen en bijzondere trouw aan de paus vereist. De jezuïeten zwoeren veel middeleeuwse gebruiken af, waaronder de verplichting tot regelmatige penitentie en vastentijden, uniforme kleding en de gezamenlijke voordracht van de liturgische dienst. Andere vernieuwingen waren de zeer gecentraliseerde gezagsvorm met een levenslange ambtstermijn voor het hoofd van de orde, gradatie van leden, een jarenlange proeftijd voorafgaand aan de gelofte en het ontbreken van een vrouwelijke tak. De jezuïeten voeren verschillende soorten missiewerk uit, met de nadruk op scholing. De orde heeft overal ter wereld talrijke onderwijsinstellingen opgericht. De jezuÃ¯eten waren de belangrijkste geloofsverdedigers van de rooms-katholieke kerk, vooral ten tijde van de Contrareformatie. Meer recent was de orde van grote invloed op de modernisering van de kerk."
"63462","karmeliet","Een rooms-katholieke kloosterorde die in de 12de eeuw is ontstaan toen kluizenaars op de berg Karmel de levenswijze nastreefden van de profeet Elia. Toen de kruistochten waren mislukt trokken de karmelieten naar Europa, waar zij als bedelorde een grote bloei kenden. Afzondering, onthouding en gebed werden strikt nageleefd. In 1452 werden de broeders karmelieten aangevuld met nonnen (zusters van de Heilige Maagd Maria van de berg Karmel) van de tweede karmelietenorde. De karmelieten hebben geen stichter zoals de meeste orden, maar zij beschouwen Elia en Maria, beiden centrale figuren in het karmelieter bewustzijn, als hun oprichters. Belangrijke vernieuwers zijn Sint Theresia van Avila, die in 1562 de vrouwenorde hervormde, en de Heilige Johannes van het Kruis, die later in de eeuw op soortgelijke wijze de mannenorde hervormde. De hervormde tak werd in 1593 een zelfstandige orde; haar leden staan bekend als de ongeschoeide karmelieten."
"63463","norbertijn","kanunnik van de kloosterorde van de H. Norbertus"
"63464","kanunnik","Geestelijken van een grote kerk die als een gemeenschap onder bepaalde voorschriften samenleven. Wordt ook gebruikt voor middeleeuwse geestelijken die tot een kapittel of het personeel van een kathedraal of collegiale kerk behoren."
"63467","monnik","Leden van een religieuze broederorde die leven volgens een discipline die door hun orde wordt voorgeschreven. Monniken leggen vaak een eed van armoede, kuisheid en gehoorzaamheid af. Het uitvoeren van religieuze plichten en bezinning zijn traditionele prioriteiten. Monniken leven gewoonlijk in afzondering van de maatschappij samen in kloosters, maar enkelen leven alleen (kluizenaars of heremieten)."
"63469","in een nis",""
"63470","nis","Uitsparingen in de dikte van muren, zodat het muurvlak op enige hoogte of breedte dieper ligt. Gebruik 'alkoven' voor kleine vertrekken, grenzend aan een grotere kamer en daarvan met een deur of een gordijn afgescheiden, meestal zonder eigen uitgang en vensterlicht, gewoonlijk als slaapplaats ingericht."
"63471","drank","Drinkbare vloeistoffen, meestal met uitzondering van water."
"63472","bokbier",""
"63473","bier",""
"63474","broodje",""
"63475","hostie (eucharistie)","Schijfje gebakken ongezuurd tarwemeel dat wordt gewijd of geheiligd tijdens de viering van Eucharistie of Heilige mis. Er bestaan grote hosties bestemd voor de priester en kleine hosties bestemd voor de gelovigen. De ongewijde hosties worden bewaard in een hostiedoos. Na de wijding wordt de hostie bewaard in een pyxis of ciborie die, bedekt met een velum of dekkleedje, in het tabernakel wordt geplaatst."
"63476","manna","Eetbare substantie beschreven in de Bijbel."
"63477","brood","In het algemeen te gebruiken voor bereid voedsel dat wordt gemaakt van deeg, dat bestaat uit bloem of meel van verschillende planten, water en andere ingrediënten, met of zonder toevoeging van een rijsmiddel. Specifiek te gebruiken voor broden of gebak van deeg met bloem, die worden bereid door middel van bakken."
"63479","schelphoorn","Blaasinstrumenten, gemaakt van schelpen, met conische boring, geluid producerend door lipspanning; met een mondstuk of met een gat bovenin, wanneer aangeblazen aan het uiteinde, of met een gat in de spiraal in de spiraal van de schelp, wanneer aan de zijkant aangeblazen."
"63480","turboschelp",""
"63481","schelp","De harde buitenbedekking van een dier."
"63482","suikerwerk",""
"63484","snuif (materiaal)","Een bereiding van poedervormig plantaardig materiaal, meestal, maar niet altijd tabak, om door de neusgaten te inhaleren, of soms oraal in te nemen."
"63485","tabak (materiaal)","Bladeren van een van de verschillende planten van het geslacht Nicotiana, behorend tot de nachtschadefamilie. Ze worden gedroogd, op verschillende wijzen geprepareerd en leveren een kalmerend en narcotisch middel op."
"63486","draak","Mythische monsters, voorgesteld als reusachtige en angstaanjagende reptielen die gewoonlijk een combinatie van een slangachtige en een krokodilachtige vorm hebben, met sterke klauwen als van een roofdier of roofvogel, en een geschubde huid. Draken worden in het algemeen voorgesteld met vleugels en soms terwijl ze vlammen uitademen. In de heraldiek combineert de draak de vormkenmerken van een reptiel en een zoogdier, aangevuld met vleugels."
"63487","eenhoorn","Dieren in de gedaante van een paard met een lange gedraaide hoorn midden op het voorhoofd, ook als heraldische figuur"
"63488","griffioen","Fabeldieren met de kop en vleugels van een adelaar en het lijf van een leeuw, symbool voor de heerschappij over zowel hemel als aarde."
"63489","monster (legendarisch wezen)","Mythische wezens die deels dier en deels mens zijn, of die elementen van twee of meer dierlijke vormen combineren; vaak groot en met een woest uiterlijk. De term kan ook verwijzen naar denkbeeldige wezens die groot, lelijk en angstaanjagend zijn."
"63491","hond",""
"63492","kat (gedomesticeerd)",""
"63493","huisdier",""
"63494","big",""
"63495","geit",""
"63496","rund","bos taurus"
"63497","schaap","ovis aries"
"63498","varken",""
"63499","trog","Lange, smalle, open bakken, meestal in de vorm van een doos, hoofdzakelijk gebruikt om water of voedsel voor dieren in te doen."
"63500","voederen (dieren)",""
"63501","geiten (guideterm)","Capra"
"63502","bok (dier)",""
"63503","hondachtigen (guideterm)","canidae"
"63504","dalmatiër",""
"63505","Deense dog",""
"63506","Franse buldog",""
"63507","herdershond",""
"63510","poedel","Hondensoort die waarschijnlijk afkomstig is uit Duitsland, maar in Frankrijk zo populair is geworden dat het tegenwoordig de nationale hond van dat land is. De poedel is gefokt als jachthond die geschoten jachtdieren uit het water moest halen. De kenmerkende manier van knippen van de haren was bedoeld om het dier makkelijker in het water te laten bewegen. Er zijn drie variëteiten: standaardpoedel, dwergpoedel en toypoedel."
"63511","puppy",""
"63512","schoothondje",""
"63513","sint-bernardshond","Fysiek sterke hondensoort met een grote kop en hangende oren die speciaal zijn gefokt om mensen op te sporen en te redden. De schofthoogte is minimaal 63,5 cm en ze kunnen 90 kg zwaar worden. De vacht is roodbruin en wit of vlekkerig bruin en wit en is dicht en kortharig of tussen kortharig en langharig in. Ze worden gefokt in het hospitium dat door Sint-Bernard van Montjoux is gesticht in de Grote Sint-Bernardpas, in de Walliser Alpen."
"63516","slachtvlees",""
"63518","katachtigen (guideterm)","felidae"
"63521","koe",""
"63522","paardachtigen (guideterm)","equidae"
"63523","enkelspan (dier)",""
"63524","Arabisch paard","Engels paard"
"63525","bont paard",""
"63526","circuspaard",""
"63528","Fries paard","Nederlands paard"
"63529","Gelderse paard",""
"63532","Groninger paard",""
"63533","harddraver (paard)",""
"63534","hengst",""
"63535","jaagpaard",""
"63536","koepaard",""
"63537","merrie",""
"63538","voertuig getrokken door paarden","Te gebruiken voor landvoertuigen die door paarden worden getrokken."
"63539","paardenportret",""
"63540","pakpaard",""
"63541","pony","Klein soort paard."
"63542","renpaard",""
"63543","rijpaard",""
"63545","schimmel (paard)",""
"63546","trekpaard",""
"63547","veulen",""
"63549","vos (paard)",""
"63550","wild paard",""
"63552","dierenwerkuitrusting","Artikelen of fysieke middelen, ontworpen en gebruikt voor dieren die taken uitvoeren waarmee menselijke arbeid of activiteiten worden ondersteund."
"63553","roskam","Kammen gemaakt van rijen metalen tanden of zaagvormige randen; in het bijzonder gebruikt bij het verzorgen van paarden."
"63554","span (dieren)","Een aantal voorgespannen trekdieren voor een voertuig."
"63555","schapen (guideterm)",""
"63556","lam",""
"63557","ooi",""
"63558","ram",""
"63561","varkens (guideterm)","suidae"
"63565","varkensmarkt",""
"63568","gevogelte (geslacht/bereid)",""
"63569","gevogelte (jachtbuit)",""
"63570","vogelconcert",""
"63571","vogelstuk",""
"63572","zwerm",""
"63573","vogels (guideterm)","aves"
"63574","gebrandschilderd raam","Vensters gemaakt met gebrandschilderd glas."
"63576","theaterelement","Architectuurelementen in theaters."
"63578","decor","Meestal rechthoekige decorstukken die bestaan uit een geraamte van lichtgewicht hout bedekt met doek, linnen of ander materiaal."
"63579","zoetwatervissen (guideterm)",""
"63581","paling","Anguilla anguilla"
"63582","kleding","Bedekking van de romp, ledematen, handen, voeten en hoofd voor de warmte, mode, of om bedekken naaktheid. Het sluit over het algemeen andere voorwerpen die onder 'kostuum'vallen zoals sieraden, kronen en andere accessoires die puur decoratief of symbolisch zijn en geen praktische functie hebben, uit."
"63583","badpak","Kleding die wordt gedragen bij het baden of zwemmen."
"63584","bandelier","Over de borst gedragen schouderbanden waar aan de zijkant een portefeuille aan kan hangen of waar munitie in kan worden gestoken in kleine buideltjes of zakjes. Ook sierbanden die over de schouder en de borst worden gedragen door Noordamerikaanse Indianen. Gebruik `bandeliertasssen' voor tassen met banden eraan vast die over de schouder en de borst worden gedragen door Noordamerikaanse Indianen."
"63585","bikini","Tweedelige badpakken slechts bestaande uit een b.h.-deel en een broekje dat onder de navel ophoudt."
"63586","bloes","Geweven dames- of kinderbovenkleding voor het bovenlijf, meestal van dun materiaal en losvallend, met of zonder mouwen en over of in de band van een rok of broek gedragen. In traditionele klederdrachten soms ook gedragen door mannen. Gebruik 'truien' voor gebreide of gehaakte kleding voor het bovenlijf."
"63587","boa (kledingstuk)","Zeer lange elliptische bontjes, gemaakt van veren, bont of andere pluizige materialen en vooral in de jaren negentig van de 19e eeuw populair."
"63588","borstlap","Stijve panelen die meestal driehoekig van vorm en vaak uitbundig versierd zijn en in een open lijfje geplaatst worden om het korset te bedekken."
"63589","broek","Bovenkleding met twee pijpen ter bedekking van het onderlijf, vanaf taille of heup tot boven de knie of langer."
"63590","schoudermantel","Overkledingstukken zonder mouwen en van verschillende lengten tot de taille, die bij de hals sluiten en ruim van de schouders vallen."
"63591","draperie (kledingaccessoire)",""
"63592","fardegalijn","Ondersteuningen in de vorm van hoepels of gewatteerde rollen, die onder een rok werden gedragen om deze uit te doen staan; een type dat in de 16e en 17e eeuw werd gedragen."
"63593","guimpe","Accessoires of basiskledingstukken die worden gebruikt om de open of laag-uitgesneden lijfjes van jurken te vullen of die onder een jasje worden gedragen. Ze zijn gemaakt van fijne materialen, al dan niet met mouwen, en werden gedragen van de 18e tot begin 20 eeuw."
"63594","harnas","Metalen bekleding van het lichaam van een krijgsman ter voorkoming van verwonding c.q. doding. Gebruik 'wapenrusting' voor alle kleding om het lichaam te beschermen ten tijde van strijd, in complete sets, ook in afzonderlijke delen."
"63595","hemd","Los, recht vallend ondergoed met of zonder mouwen, meestal doorlopend tot de heup of knie."
"63596","hoofdtooi","Met zorg uitgewerkte hoofddeksels die vooral worden gedragen bij ceremoniële gelegenheden of als sierraad."
"63597","hozen (kous)","Kousen die in Europa in de 16de en 17de eeuw door mannen werden gedragen als bedekking van het bovenbeen, de dijen en de billen."
"63598","japon","Eén- of meerdelige bovenkleding voor vrouwen en kinderen bestaande uit een lijfje en een rok."
"63599","jas","Bovenkleding gevormd naar het bovenlichaam en doorlopend tot beneden de heuplijn, open aan de voor- of zijkant en in het algemeen met mouwen. Ook soortgelijke overkleding gedragen ter bescherming tegen het weer."
"63600","kous","Kousen die de voet bedekken en tot aan de knie reiken of erboven; kunnen dik of dun zijn."
"63601","kraag","Gevormde kledingonderdelen die afzonderlijk of aan de kleding vast rond de halslijn van een kledingstuk worden gedragen."
"63602","kuras","Harnas dat de voor- en achterkant van de romp beschermt; ze zijn in de loop der tijd gemaakt van lagen linnen of leder, metalen schubben, harnasplaatjes of platen of combinaties van leder en metaal."
"63603","lendendoek","Doeken rond de lendenen, in warme klimaten vaak als enige kleding gedragen."
"63604","lijfje (kledingstuk)","Nauwsluitende kledingstukken voor het bovenlichaam, vaak geregen en gedragen over een jurk of blouse. Gebruik voor de bovenstukken van japonnen 'lijfjes'."
"63605","maillot","Zware, ondoorzichtige kousen die aan één stuk geweven zijn met een slip. Gebruik 'panties' voor dunne kousen die uit één stuk gewoven zijn met een slip. Gebruik 'tricots' voor nauwsluitende combinaisons uit Ã©Ã©n geheel."
"63606","manchet (kledingonderdeel)","Banden aan een mouw, vooral van een overhemd, die de pols bedekken."
"63607","mantel (kleding)","Overkleding met enige vorm, in verschillende lengten."
"63608","modestie","Effen of decoratieve repen stof die worden gedragen om een lage hals, vooral van een jurk, op te vullen."
"63609","mouw","Gevormde bedekkingen voor de arm die oorspronkelijk afzonderlijk van de belangrijkste kleding werden gemaakt en eraan werden bevestigd door middel van veters door oogjes die bij de schouders vastzaten. Later vaak gemaakt als onderdeel van kledingstukken."
"63610","omslagdoek","Grote vierkante, rechthoekige of driehoekige stukken stof die worden gedragen over de bovenkleding om schouders en armen te bedekken."
"63611","onderrok","Rokken die onder een andere rok of japon worden gedragen, soms ook om gezien te worden."
"63612","overall","Eendelige kledingstukken bestaande uit een broekachtig deel en een volledig bovenstuk met of zonder mouwen, dat ter bescherming over andere kledingstukken wordt gedragen. Gebruik 'tuinbroeken' voor eendelige kledingstukken bestaande uit een broek en een borststuk."
"63613","overhemd","Bovenkleding voor het bovenlichaam, met of zonder mouwen en gedragen in of over de tailleband van een rok of broek. Meestal met een kraag, die soms afneembaar is, een sluiting van voren en soms zakken op de borst."
"63614","paltrok (kledingstuk)","Over het wambuis gedragen jas die ter hoogte van het middel uitwaaiert naar onderen; oorspronkelijk vrij lang maar later korter; oorspronkelijk met mouwen maar later met schouderkleppen en loze siermouwen."
"63616","plastron","Kleine stoffen inzetstukken die bij de basiskleding worden gedragen om het effect van een gilet te krijgen."
"63617","pyjama","Ruimvallende kledingstukken uit één of twee delen, bestaande uit een korte of lange broek en een bovenstuk in de vorm van een hemd of een truitje; vooral gedragen om in te slapen of binnenshuis te luieren."
"63618","rok (dameskleding)","Bovenkledingstukken voor het onderlichaam, in verschillende lengtes vanaf de taille of heup. Ook het onderste gedeelte van een japon, jas of ander kledingstuk."
"63619","rokkostuum","Een rokkostuum is een pak voor heren. Het wordt gedragen op formele feesten en bij ceremoniële gebeurtenissen. Het bestaat uit een rokjas die twee scherpe punten en lange panden bezit, een gesteven hemd met opstaande boord, een wit vest of gilet, een witte vlinderdas en een zwarte broek met enkele of dubbele bies aan de zijkant. Als dress code ook 'white tie', 'cravate blanche' of 'gala' genoemd."
"63620","schort","Kledingstukken die ter bescherming, soms ook louter decoratief worden gedragen over bovenkledingstukken. Bedekken meestal de voorkant van het lichaam en sluiten om het middel met banden, kunnen echter ook een borststuk of schouderbanden hebben."
"63621","smoking","Semiformele avondkostuums die bestaan uit een jasje, zonder taille en met satijnen of faille revers, en een broek met langs de buitennaad van de pijpen een bies van zijde of faille; gedragen met bijpassend overhemd, strikje, cummerbund of vest."
"63622","tabbaard","Blazoenen of tunieken van rijk materiaal met afbeeldingen van heraldische wapens die in de middeleeuwen door mannen werden gedragen. Tegenwoordig staan ze bekend als mouwloze kledingstukken van karmozijnrood fluweel die in combinatie met een mantel worden gedragen. De term is enigszins dubbelzinnig en kan ook slaan op overkleding die door hooggeplaatste personen van beide seksen kan worden gedragen."
"63623","ambtsgewaad","Gewaden die worden gedragen voor ceremoniële of officiële gebeurtenissen. Meestal met versieringen, stiksels en kleur(accenten)."
"63624","trui","Gebreide of gehaakte kledingstukken voor het bovenlichaam, die over het hoofd worden aangetrokken."
"63625","vest","Nauwsluitende bovenkledingstukken voor het bovenlichaam tot de taille of net daaronder. Meestal zonder mouwen en boord en vaak met knopen of zakken. Voor nauwsluitende bovenkleding die tot over de taille komt en meestal knopen aan de voorkant heeft, soms ook mouwen heeft, en worden gedragen over een overhemd en onder een jas, gebruik dan 'gilets'."
"63626","wambuis","Nauwsluitende kledingstukken tot aan de taille of heup, met of zonder mouwen die werden gedragen door mannen in de 15e tot de 17e eeuw."
"63627","accessoire (objectgenre)","Voorwerpen of apparaten die op zichzelf niet noodzakelijk zijn, maar die de schoonheid, het comfort of de doeltreffendheid verhogen van andere zaken zoals bijvoorbeeld kleding of auto's."
"63628","kledingonderdeel","Delen of onderdelen van kostuums."
"63629","haarstijl","Te gebruiken voor de stijl, vorm en schikking van menselijk haar, vaak mooier gemaakt door toevoeging van materialen of stoffen aan het haar. Kapsels kunnen een sociale en religieuze betekenis hebben maar ook esthetische en artistieke kenmerken."
"63630","schoeisel","Bedekkingen voor de voeten die soms tot boven de enkel lopen en over het algemeen van duurzaam materiaal zijn gemaakt. Wordt onderscheiden van `kousen en sokken' die primair beenbedekkingen zijn."
"63632","lichamelijke en geestelijke activiteiten (guideterm)","De hiërarchie Lichamelijke en Geestelijke Activiteiten bevat descriptoren voor activiteiten die variëren van enkele acties tot complexe reeksen fysieke en mentale bezigheden. Geestelijke activiteiten zijn activiteiten die geheel of voornamelijk worden uitgevoerd met de hersenen. Lichamelijke activiteiten zijn activiteiten die worden uitgevoerd met andere delen van het lichaam of met het lichaam als geheel. Relatie tot Overige hiërarchieÃ«n: descriptoren voor procedés die fysiek op of met materialen of objecten worden uitgevoerd (bijv. beeldsnijden) zijn te vinden in de hiÃ«rarchie Procedés en Technieken. Descriptoren voor organisatorische, administratieve of intellectuele activiteiten die worden uitgevoerd om specifieke doelen te bereiken (bijv. analyse) zijn te vinden in de hiÃ«rarchie Functies. Descriptoren die gebeurtenissen aanduiden, waaronder gebeurtenissen wanneer activiteiten in deze hiÃ«rarchie zouden kunnen plaatsvinden (bijv. zeilen, basketbal) of die altijd afhankelijk zijn van een duidelijk gedefinieerde reeks omstandigheden voordat ze plaatsvinden, (bijv. races) zijn te vinden in de hiÃ«rarchie Gebeurtenissen."
"63633","baden (handeling)","Het wassen van mensen of dieren. Gebruik 'zwemmen' voor recreatieve onderdompeling in water."
"63635","handen wassen","Process of cleaning one's hands"
"63636","manicure","De handen en nagels verzorgen."
"63637","ontluizen","Proces voor het verwijderen van hoofdluisparasieten uit menselijk haar."
"63638","toilet maken","De handelingen rondom het zich wassen en kleden."
"63639","verschonen",""
"63640","vlooien (handeling)",""
"63641","voeten wassen",""
"63647","gewapend conflict","In 't algemeen te gebruiken voor fysieke strijd tussen of onder bewapende mensen."
"63648","abrikoos (vrucht)",""
"63649","ananas (vrucht)","De saprijke, geurige vruchten van de Ananas sativus."
"63650","appel (vrucht)","De vrucht van de bomen van het geslacht Malus. Appels voor consumptie zijn meestal groen, rood of geel en worden in een veelheid van rassen gekweekt in gematigde streken over de hele wereld."
"63651","banaan (vrucht)","Vruchten van verschillende soorten van het geslacht Musa. Technisch gezien zijn het bessen; ze groeien in groepjes hoekige en vingerachtige vruchten, die uiterst voedzaam vruchtvlees bevatten binnen de schil."
"63652","braam (vrucht)",""
"63653","citroen (vrucht)","Citrusvrucht met een ovale vorm, een gele schil en zuur, sappig vruchtvlees."
"63654","dennenappel","Min of meer kegelvormige vrucht van bepaalde bloemloze planten, met name coniferen, die uit overlappende of klepvormige schubben bestaan waarin zaadknoppen of zaden zitten."
"63655","druif (vrucht)","Botanisch gezien een bes, die min of meer bolvormig is en sappig vruchtvlees heeft waarin de pitjes liggen. Ze komen van de bladverliezende houtige stengels van het botanisch geslacht Vitis. Druiven variëren in kleur tussen zwart, paars, roodachtig, amber en groen. Ze kunnen vers of gedroogd worden gegeten, of worden gefermenteerd om er wijn van te maken."
"63656","eikel (noot)","Vrucht van de eikenboom, die groeit in een ondiep, houtachtig dopje of kommetje."
"63657","framboos (vrucht)","De eetbare, zachte, bessenachtige vrucht van de plant Rubus idaeus en alle ervan afgeleide cultivars. Het is een samengestelde vrucht die bestaat uit vele kleine, meestal donkerrode steenvruchtjes op een conische vruchtbodem waarvan de rijpe vruchten eenvoudig zijn te plukken. De term wordt soms ook gebruikt voor diverse andere vruchten van het genus Rubus."
"63659","guave (vrucht)",""
"63660","kastanje (noot)","Noot van de kastanjeboom, waarvan er twee of meer zijn ingesloten in een stekelige 'braam'."
"63661","kers (vrucht)","Een kleine, bolvormige vrucht die een pit bevat. Ze behoren tot de steenvruchten en zijn familie van de roosachtigen. De smaak kan zowel zoet als zuur zijn. De kleur van het vruchtvlees kan variëren van geel en rood tot bijna paarsrood."
"63662","kweepeer (vrucht)",""
